short_name,long_name,player_id,player_overall,potential,age,height_cm,weight_kg,value_millions_eur,wage_thousands_eur,pace,shooting,passing,dribbling,defending,physic,player_positions,preferred_foot,nationality_name,league_name,skill_moves,weak_foot,international_reputation,club_name,team_overall,domestic_prestige,def_style,off_chance_creation,overall15,value_millions_eur15,country,image_link
L. Messi,Lionel Andrés Messi Cuccittini,158023,91,91,35,169,67,54.0,195.0,81.0,89.0,90.0,94.0,34.0,64.0,RW,Left,Argentina,Ligue 1,4,4,5,Paris Saint Germain,85.0,10.0,Press After Possession Loss,Possession,93,105.0,France,https://cdn.sofifa.net/players/158/023/23_360.png
K. Benzema,Karim Benzema,165153,91,91,34,185,81,64.0,450.0,80.0,88.0,83.0,87.0,39.0,78.0,"CF, ST",Right,France,La Liga,4,4,4,Real Madrid,85.0,10.0,Balanced,Balanced,86,44.5,Spain,https://cdn.sofifa.net/players/165/153/23_360.png
R. Lewandowski,Robert Lewandowski,188545,91,91,33,185,81,84.0,420.0,75.0,91.0,79.0,86.0,44.0,83.0,ST,Right,Poland,La Liga,4,4,5,FC Barcelona,84.0,10.0,Balanced,Possession,91,92.0,Spain,https://cdn.sofifa.net/players/188/545/23_360.png
K. De Bruyne,Kevin De Bruyne,192985,91,91,31,181,75,107.5,350.0,74.0,88.0,93.0,87.0,63.0,77.0,"CM, CAM",Right,Belgium,Premier League,4,5,4,Manchester City,85.0,10.0,Press After Possession Loss,Possession,89,83.0,England,https://cdn.sofifa.net/players/192/985/23_360.png
K. Mbappé,Kylian Mbappé Lottin,231747,91,95,23,182,73,190.5,230.0,97.0,89.0,80.0,92.0,36.0,76.0,"ST, LW",Right,France,Ligue 1,5,4,4,Paris Saint Germain,85.0,10.0,Press After Possession Loss,Possession,83,41.5,France,https://cdn.sofifa.net/players/231/747/23_360.png
T. Courtois,Thibaut Nicolas Marc Courtois,192119,90,91,30,199,96,90.0,250.0,46.0,75.0,75.0,89.0,89.0,84.0,GK,Left,Belgium,La Liga,1,3,4,Real Madrid,85.0,10.0,Balanced,Balanced,89,59.0,Spain,https://cdn.sofifa.net/players/192/119/23_360.png
M. Salah,Mohamed Salah Ghaly,209331,90,90,30,175,71,115.5,270.0,90.0,89.0,82.0,90.0,45.0,75.0,RW,Left,Egypt,Premier League,4,3,4,Liverpool,84.0,9.0,Press After Possession Loss,Balanced,83,32.5,England,https://cdn.sofifa.net/players/209/331/23_360.png
M. Neuer,Manuel Peter Neuer,167495,89,89,36,193,93,11.5,69.0,49.0,90.0,90.0,88.0,88.0,87.0,GK,Right,Germany,Bundesliga,1,4,5,FC Bayern München,84.0,10.0,Pressure On Heavy Touch,Possession,92,61.0,Germany,https://cdn.sofifa.net/players/167/495/23_360.png
Neymar Jr,Neymar da Silva Santos Júnior,190871,89,89,30,175,68,99.5,200.0,87.0,83.0,85.0,93.0,37.0,61.0,LW,Right,Brazil,Ligue 1,5,5,5,Paris Saint Germain,85.0,10.0,Press After Possession Loss,Possession,92,123.0,France,https://cdn.sofifa.net/players/190/871/23_360.png
Casemiro,Carlos Henrique Venancio Casimiro,200145,89,89,30,185,84,86.0,240.0,63.0,73.0,78.0,73.0,88.0,89.0,CDM,Right,Brazil,Premier League,2,3,3,Manchester United,82.0,8.0,Pressure On Heavy Touch,Possession,85,42.0,England,https://cdn.sofifa.net/players/200/145/23_360.png
